ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
-JHgR3nckO0,My NAIL Art | VLOG by SAMBHAVNA SETH,https://i.ytimg.com/vi/-JHgR3nckO0/default.jpg,https://i.ytimg.com/vi/-JHgR3nckO0/mqdefault.jpg,https://i.ytimg.com/vi/-JHgR3nckO0/hqdefault.jpg
74Pq7vv8l8E,Designer Cloths for Girls | Exhibition @JW Marriot | SS vlogs :-),https://i.ytimg.com/vi/74Pq7vv8l8E/default.jpg,https://i.ytimg.com/vi/74Pq7vv8l8E/mqdefault.jpg,https://i.ytimg.com/vi/74Pq7vv8l8E/hqdefault.jpg
IuqTLIQtAvA,My HAIR Style looks Awesome | SS vlogs :-),https://i.ytimg.com/vi/IuqTLIQtAvA/default.jpg,https://i.ytimg.com/vi/IuqTLIQtAvA/mqdefault.jpg,https://i.ytimg.com/vi/IuqTLIQtAvA/hqdefault.jpg
ZeeDigcD4RA,Makeup & Hair on Shoot Day | SS vlogs :-),https://i.ytimg.com/vi/ZeeDigcD4RA/default.jpg,https://i.ytimg.com/vi/ZeeDigcD4RA/mqdefault.jpg,https://i.ytimg.com/vi/ZeeDigcD4RA/hqdefault.jpg
vfjNaorN4yU,Funny & Soothing Head Oil Massage | SS vlogs :-),https://i.ytimg.com/vi/vfjNaorN4yU/default.jpg,https://i.ytimg.com/vi/vfjNaorN4yU/mqdefault.jpg,https://i.ytimg.com/vi/vfjNaorN4yU/hqdefault.jpg
uMoyEESpWHc,My best Lipstick Shades Collection | SS vlogs :-),https://i.ytimg.com/vi/uMoyEESpWHc/default.jpg,https://i.ytimg.com/vi/uMoyEESpWHc/mqdefault.jpg,https://i.ytimg.com/vi/uMoyEESpWHc/hqdefault.jpg
jLr1Gbn1o7o,Daily Essentials I Carry In My Handbag | SS vlogs :-),https://i.ytimg.com/vi/jLr1Gbn1o7o/default.jpg,https://i.ytimg.com/vi/jLr1Gbn1o7o/mqdefault.jpg,https://i.ytimg.com/vi/jLr1Gbn1o7o/hqdefault.jpg
QK9coir9-jQ,Gel Nails & Bigg boss chat with VINDU/DINA | SS vlogs :-),https://i.ytimg.com/vi/QK9coir9-jQ/default.jpg,https://i.ytimg.com/vi/QK9coir9-jQ/mqdefault.jpg,https://i.ytimg.com/vi/QK9coir9-jQ/hqdefault.jpg
GnxRi_jNVqE,Confused Birthday Shopping With Avinash | SS vlogs :-),https://i.ytimg.com/vi/GnxRi_jNVqE/default.jpg,https://i.ytimg.com/vi/GnxRi_jNVqE/mqdefault.jpg,https://i.ytimg.com/vi/GnxRi_jNVqE/hqdefault.jpg
wz9CVZfuFkY,My Skin Care part 1 | Products for External Use | SS vlogs :-),https://i.ytimg.com/vi/wz9CVZfuFkY/default.jpg,https://i.ytimg.com/vi/wz9CVZfuFkY/mqdefault.jpg,https://i.ytimg.com/vi/wz9CVZfuFkY/hqdefault.jpg
aR7I1zWRAD4,My Dogs Cutest Makeover Ever | SS vlogs :-) | Hindi,https://i.ytimg.com/vi/aR7I1zWRAD4/default.jpg,https://i.ytimg.com/vi/aR7I1zWRAD4/mqdefault.jpg,https://i.ytimg.com/vi/aR7I1zWRAD4/hqdefault.jpg
Ut1WZnkw5hs,My Skin Care part 2 | Day & Night creams | SS vlogs :-) | Hindi,https://i.ytimg.com/vi/Ut1WZnkw5hs/default.jpg,https://i.ytimg.com/vi/Ut1WZnkw5hs/mqdefault.jpg,https://i.ytimg.com/vi/Ut1WZnkw5hs/hqdefault.jpg
uK5OrJRdw_I,Vitamines & Medicines I Use For Healthy Skin | My Skincare Part 3 | SS vlogs :-) | Hindi,https://i.ytimg.com/vi/uK5OrJRdw_I/default.jpg,https://i.ytimg.com/vi/uK5OrJRdw_I/mqdefault.jpg,https://i.ytimg.com/vi/uK5OrJRdw_I/hqdefault.jpg
Zfsz08VjznQ,"A PERFECT UNPLANNED DATE | Lunch, Foot Massage & Coffee!!! | SS vlogs :-)",https://i.ytimg.com/vi/Zfsz08VjznQ/default.jpg,https://i.ytimg.com/vi/Zfsz08VjznQ/mqdefault.jpg,https://i.ytimg.com/vi/Zfsz08VjznQ/hqdefault.jpg
F0-NJytNkjI,PRO FIBER HAIR TREATMENT | SS Vlogs | Hindi,https://i.ytimg.com/vi/F0-NJytNkjI/default.jpg,https://i.ytimg.com/vi/F0-NJytNkjI/mqdefault.jpg,https://i.ytimg.com/vi/F0-NJytNkjI/hqdefault.jpg
_7x5OUm9Q8o,Nykaa Unboxing Make-up/Eye-liners/Blushes | SS Vlogs :-) | Hindi |,https://i.ytimg.com/vi/_7x5OUm9Q8o/default.jpg,https://i.ytimg.com/vi/_7x5OUm9Q8o/mqdefault.jpg,https://i.ytimg.com/vi/_7x5OUm9Q8o/hqdefault.jpg
