ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
LRHwAmduANM,Bulldog Obsessed With His Skateboard Hates When His Parents Try To Take It Away From Him | The Dodo,https://i.ytimg.com/vi/LRHwAmduANM/default.jpg,https://i.ytimg.com/vi/LRHwAmduANM/mqdefault.jpg,https://i.ytimg.com/vi/LRHwAmduANM/hqdefault.jpg
GqAkLHdObk0,"Only A Few Dogs Look Like Her In The World, But She Has No Idea She's Any Different | The Dodo",https://i.ytimg.com/vi/GqAkLHdObk0/default.jpg,https://i.ytimg.com/vi/GqAkLHdObk0/mqdefault.jpg,https://i.ytimg.com/vi/GqAkLHdObk0/hqdefault.jpg
hExhaWCnBxQ,Dog's Best Friend Caught On Camera Sneaking Over To Play | The Dodo,https://i.ytimg.com/vi/hExhaWCnBxQ/default.jpg,https://i.ytimg.com/vi/hExhaWCnBxQ/mqdefault.jpg,https://i.ytimg.com/vi/hExhaWCnBxQ/hqdefault.jpg
lEY9aQyw2R8,Here’s To The Dads — Happy Father’s Day! | The Dodo,https://i.ytimg.com/vi/lEY9aQyw2R8/default.jpg,https://i.ytimg.com/vi/lEY9aQyw2R8/mqdefault.jpg,https://i.ytimg.com/vi/lEY9aQyw2R8/hqdefault.jpg
b3r7cdkBf80,"Dad Cuts ""Peepholes"" Into Fence So Dogs Can Say Hi To Mom | The Dodo",https://i.ytimg.com/vi/b3r7cdkBf80/default.jpg,https://i.ytimg.com/vi/b3r7cdkBf80/mqdefault.jpg,https://i.ytimg.com/vi/b3r7cdkBf80/hqdefault.jpg
Zhmc9Pjef38,Pittie Thinks Her Puppy Siblings Are So Gross...But Then Something Changes! | The Dodo,https://i.ytimg.com/vi/Zhmc9Pjef38/default.jpg,https://i.ytimg.com/vi/Zhmc9Pjef38/mqdefault.jpg,https://i.ytimg.com/vi/Zhmc9Pjef38/hqdefault.jpg
c5fNek-kwMc,"The Happiest, Cuddliest Duck Ever Is Obsessed With A Giant Dog | The Dodo",https://i.ytimg.com/vi/c5fNek-kwMc/default.jpg,https://i.ytimg.com/vi/c5fNek-kwMc/mqdefault.jpg,https://i.ytimg.com/vi/c5fNek-kwMc/hqdefault.jpg
NuRpwG9kb5o,Puppy Left Outside Supermarket Is So Happy Someone Came Along | The Dodo,https://i.ytimg.com/vi/NuRpwG9kb5o/default.jpg,https://i.ytimg.com/vi/NuRpwG9kb5o/mqdefault.jpg,https://i.ytimg.com/vi/NuRpwG9kb5o/hqdefault.jpg
ba8mk3oqr1g,German Shepherd Carries Cat Toy Around The House For The New Kitten To Play With | The Dodo,https://i.ytimg.com/vi/ba8mk3oqr1g/default.jpg,https://i.ytimg.com/vi/ba8mk3oqr1g/mqdefault.jpg,https://i.ytimg.com/vi/ba8mk3oqr1g/hqdefault.jpg
2RwD96ZX4VQ,No One Could Catch this Giant Stray Great Pyrenees Until... | The Dodo,https://i.ytimg.com/vi/2RwD96ZX4VQ/default.jpg,https://i.ytimg.com/vi/2RwD96ZX4VQ/mqdefault.jpg,https://i.ytimg.com/vi/2RwD96ZX4VQ/hqdefault.jpg
hWVYQxSzIxM,This Dog Is Best Friends With Butterflies | The Dodo,https://i.ytimg.com/vi/hWVYQxSzIxM/default.jpg,https://i.ytimg.com/vi/hWVYQxSzIxM/mqdefault.jpg,https://i.ytimg.com/vi/hWVYQxSzIxM/hqdefault.jpg
veK7-_80p4I,Dog Obsessed With Music Adopted By Musicians | The Dodo,https://i.ytimg.com/vi/veK7-_80p4I/default.jpg,https://i.ytimg.com/vi/veK7-_80p4I/mqdefault.jpg,https://i.ytimg.com/vi/veK7-_80p4I/hqdefault.jpg
