ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
FyDavMYL1NU,35 SNAKE BITES WHILE GENDER CHECKING BABY BOAS!! OUCH!! | BRIAN BARCZYK,https://i.ytimg.com/vi/FyDavMYL1NU/default.jpg,https://i.ytimg.com/vi/FyDavMYL1NU/mqdefault.jpg,https://i.ytimg.com/vi/FyDavMYL1NU/hqdefault.jpg
ettzH7BZk7k,300 GALLON FISH POND LEAKS ALL OVER HIS BASEMENT!! | BRIAN BARCZYK,https://i.ytimg.com/vi/ettzH7BZk7k/default.jpg,https://i.ytimg.com/vi/ettzH7BZk7k/mqdefault.jpg,https://i.ytimg.com/vi/ettzH7BZk7k/hqdefault.jpg
pA_kO-qy6d8,MY SNAKE PROLAPSED!! NOW WHAT? SAVING HER LIFE! | BRIAN BARCZYK,https://i.ytimg.com/vi/pA_kO-qy6d8/default.jpg,https://i.ytimg.com/vi/pA_kO-qy6d8/mqdefault.jpg,https://i.ytimg.com/vi/pA_kO-qy6d8/hqdefault.jpg
qD2wIi45vTE,MYSTERIOUS DEATH OF A REPTILE BREEDER...SOLVED! | BRIAN BARCZYK,https://i.ytimg.com/vi/qD2wIi45vTE/default.jpg,https://i.ytimg.com/vi/qD2wIi45vTE/mqdefault.jpg,https://i.ytimg.com/vi/qD2wIi45vTE/hqdefault.jpg
zvoHm61zzg0,BUILDING THE LARGEST REPTILE CAGE I HAVE EVER HAD!! | BRIAN BARCZYK,https://i.ytimg.com/vi/zvoHm61zzg0/default.jpg,https://i.ytimg.com/vi/zvoHm61zzg0/mqdefault.jpg,https://i.ytimg.com/vi/zvoHm61zzg0/hqdefault.jpg
xKRJ2tjL1mk,ALMOST INJURED BUILDING MY REPTILE ZOO!! | BRIAN BARCZYK,https://i.ytimg.com/vi/xKRJ2tjL1mk/default.jpg,https://i.ytimg.com/vi/xKRJ2tjL1mk/mqdefault.jpg,https://i.ytimg.com/vi/xKRJ2tjL1mk/hqdefault.jpg
cNY6vUpuXlo,VISITING AN INSANE SNAKE COLLECTION! CHASE BAKER!! | BRIAN BARCZYK,https://i.ytimg.com/vi/cNY6vUpuXlo/default.jpg,https://i.ytimg.com/vi/cNY6vUpuXlo/mqdefault.jpg,https://i.ytimg.com/vi/cNY6vUpuXlo/hqdefault.jpg
eSqprunVopY,"BUILDING A $35,000 ANACONDA CAGE!! SHE UNBOXED SNAKES WITHOUT ME!! | BRIAN BARCZYK",https://i.ytimg.com/vi/eSqprunVopY/default.jpg,https://i.ytimg.com/vi/eSqprunVopY/mqdefault.jpg,https://i.ytimg.com/vi/eSqprunVopY/hqdefault.jpg
9teRQ1C-yw4,I got 2 TWO HEADED TURTLES!! and BECAME a FIREMAN For The DAY! | BRIAN BARCZYK,https://i.ytimg.com/vi/9teRQ1C-yw4/default.jpg,https://i.ytimg.com/vi/9teRQ1C-yw4/mqdefault.jpg,https://i.ytimg.com/vi/9teRQ1C-yw4/hqdefault.jpg
UsZn196qZAM,LORI's REACTION to the TWO HEADED TURTLES!! | BRIAN BARCZYK,https://i.ytimg.com/vi/UsZn196qZAM/default.jpg,https://i.ytimg.com/vi/UsZn196qZAM/mqdefault.jpg,https://i.ytimg.com/vi/UsZn196qZAM/hqdefault.jpg
zpNfRyKCmps,MY HUGE ANACONDA WENT to the BATHROOM all Over a GUEST at the Reptarium!!! | BRIAN BARCZYK,https://i.ytimg.com/vi/zpNfRyKCmps/default.jpg,https://i.ytimg.com/vi/zpNfRyKCmps/mqdefault.jpg,https://i.ytimg.com/vi/zpNfRyKCmps/hqdefault.jpg
QvjSnJCKqn0,GIANT LIZARD REACTS TO EATING FISH AS A MEAL!! | BRIAN BARCZYK,https://i.ytimg.com/vi/QvjSnJCKqn0/default.jpg,https://i.ytimg.com/vi/QvjSnJCKqn0/mqdefault.jpg,https://i.ytimg.com/vi/QvjSnJCKqn0/hqdefault.jpg
JIXPcTeXpMw,MOST BEAUTIFUL REPTILE AT MY REPTILE ZOO!! YOU CHOOSE!! | BRIAN BARCZYK,https://i.ytimg.com/vi/JIXPcTeXpMw/default.jpg,https://i.ytimg.com/vi/JIXPcTeXpMw/mqdefault.jpg,https://i.ytimg.com/vi/JIXPcTeXpMw/hqdefault.jpg
6jk1TkicFws,REPTILES PREDICT KANSAS CITY 35-0 SUPER BOWL VICTORY!! | BRIAN BARCZYK,https://i.ytimg.com/vi/6jk1TkicFws/default.jpg,https://i.ytimg.com/vi/6jk1TkicFws/mqdefault.jpg,https://i.ytimg.com/vi/6jk1TkicFws/hqdefault.jpg
uj7AokpoBkw,ALMOST BIT IN THE FACE WHILE FEEDING MY GIANT SNAKES!! | BRIAN BARCZYK,https://i.ytimg.com/vi/uj7AokpoBkw/default.jpg,https://i.ytimg.com/vi/uj7AokpoBkw/mqdefault.jpg,https://i.ytimg.com/vi/uj7AokpoBkw/hqdefault.jpg
uj7AokpoBkw,ALMOST BIT IN THE FACE WHILE FEEDING MY GIANT SNAKES!! | BRIAN BARCZYK,https://i.ytimg.com/vi/uj7AokpoBkw/default.jpg,https://i.ytimg.com/vi/uj7AokpoBkw/mqdefault.jpg,https://i.ytimg.com/vi/uj7AokpoBkw/hqdefault.jpg
tcvbA64GM5g,GIANT SNAKES!! WHY THE INTERNET HATES ME!! | BRIAN BARCZYK,https://i.ytimg.com/vi/tcvbA64GM5g/default.jpg,https://i.ytimg.com/vi/tcvbA64GM5g/mqdefault.jpg,https://i.ytimg.com/vi/tcvbA64GM5g/hqdefault.jpg
dueqn1XmXaA,I'M SO EMBARRASSED!! COYOTE PETERSONS PREMIER PARTY! FIRST REPTILE CAGES AT MY ZOO!! | BRIAN BARCZYK,https://i.ytimg.com/vi/dueqn1XmXaA/default.jpg,https://i.ytimg.com/vi/dueqn1XmXaA/mqdefault.jpg,https://i.ytimg.com/vi/dueqn1XmXaA/hqdefault.jpg
UyaciTsc5KU,I WAS WRONG!! I AM SORRY!! ALSO HUGE ANACONDA SHEDS IN ONE PIECE! | BRIAN BARCZYK,https://i.ytimg.com/vi/UyaciTsc5KU/default.jpg,https://i.ytimg.com/vi/UyaciTsc5KU/mqdefault.jpg,https://i.ytimg.com/vi/UyaciTsc5KU/hqdefault.jpg
q9nTQxu_ZF4,NO MORE IGUANAS OR TEGUS IN FLORIDA!! MAKING THEM ILLEGAL TO OWN! HELP!! | BRIAN BARCZYK,https://i.ytimg.com/vi/q9nTQxu_ZF4/default.jpg,https://i.ytimg.com/vi/q9nTQxu_ZF4/mqdefault.jpg,https://i.ytimg.com/vi/q9nTQxu_ZF4/hqdefault.jpg
QygsOC_m7cs,SHARING ALL MY SECRETS!! I PROBABLY SHOULDN'T DO THIS?? | BRIAN BARCZYK,https://i.ytimg.com/vi/QygsOC_m7cs/default.jpg,https://i.ytimg.com/vi/QygsOC_m7cs/mqdefault.jpg,https://i.ytimg.com/vi/QygsOC_m7cs/hqdefault.jpg
wZdc3ZbQQC4,LETTING MY BIG ANACONDA LOOSE!! NOT REALLY BUT KIND OF?? | BRIAN BARCZYK,https://i.ytimg.com/vi/wZdc3ZbQQC4/default.jpg,https://i.ytimg.com/vi/wZdc3ZbQQC4/mqdefault.jpg,https://i.ytimg.com/vi/wZdc3ZbQQC4/hqdefault.jpg
8HChh3xO9Ds,BIG ANACONDA EATS TWO RABBITS!! WHAT EXCITES ME ABOUT THE REPTILE ZOO EXPANSION??  | BRIAN BARCZYK,https://i.ytimg.com/vi/8HChh3xO9Ds/default.jpg,https://i.ytimg.com/vi/8HChh3xO9Ds/mqdefault.jpg,https://i.ytimg.com/vi/8HChh3xO9Ds/hqdefault.jpg
vmmuzkDGaXM,AMAZING! They GAVE ME $6000 to SUPPORT the REPTILE ZOO EXPANSION!!  | BRIAN BARCZYK,https://i.ytimg.com/vi/vmmuzkDGaXM/default.jpg,https://i.ytimg.com/vi/vmmuzkDGaXM/mqdefault.jpg,https://i.ytimg.com/vi/vmmuzkDGaXM/hqdefault.jpg
3FE_huf8uLw,SO DISAPPOINTED!! THIS SUCKS!! | BRIAN BARCZYK,https://i.ytimg.com/vi/3FE_huf8uLw/default.jpg,https://i.ytimg.com/vi/3FE_huf8uLw/mqdefault.jpg,https://i.ytimg.com/vi/3FE_huf8uLw/hqdefault.jpg
