ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
de4tDeOZduQ,[M4M][M4A]Tsundere Bully Confesses HIs Love To You [Kissing] ASMR RP,https://i.ytimg.com/vi/de4tDeOZduQ/default.jpg,https://i.ytimg.com/vi/de4tDeOZduQ/mqdefault.jpg,https://i.ytimg.com/vi/de4tDeOZduQ/hqdefault.jpg
No--ijpt6jw,[ASMR] Possessive Dog Pet Turns Human to Love You [ROLEPLAY] [DOG LOVE] [FANTASY] [FURBABY] [M4F],https://i.ytimg.com/vi/No--ijpt6jw/default.jpg,https://i.ytimg.com/vi/No--ijpt6jw/mqdefault.jpg,https://i.ytimg.com/vi/No--ijpt6jw/hqdefault.jpg
gbHzAVc8qjk,ASMR | Boyfriend Helps You Fall Asleep | Comfort | Cuddles | Ramble (M4A),https://i.ytimg.com/vi/gbHzAVc8qjk/default.jpg,https://i.ytimg.com/vi/gbHzAVc8qjk/mqdefault.jpg,https://i.ytimg.com/vi/gbHzAVc8qjk/hqdefault.jpg
8DlqafEAKFs,Spicy Tiger Boy Shows You His 'Tent' [Gay ASMR],https://i.ytimg.com/vi/8DlqafEAKFs/default.jpg,https://i.ytimg.com/vi/8DlqafEAKFs/mqdefault.jpg,https://i.ytimg.com/vi/8DlqafEAKFs/hqdefault.jpg
R_tefJ-DiRA,Audio Roleplay / Good boy cuddles with your werewolf boyfriend [M4M] [Wholesome] [Christmas],https://i.ytimg.com/vi/R_tefJ-DiRA/default.jpg,https://i.ytimg.com/vi/R_tefJ-DiRA/mqdefault.jpg,https://i.ytimg.com/vi/R_tefJ-DiRA/hqdefault.jpg
DzdJmOjbUJg,ASMR Loving Boyfriend Comforts You (M4M) (Compliments) (Affirmations) (Comfort for Insecurity),https://i.ytimg.com/vi/DzdJmOjbUJg/default.jpg,https://i.ytimg.com/vi/DzdJmOjbUJg/mqdefault.jpg,https://i.ytimg.com/vi/DzdJmOjbUJg/hqdefault.jpg
zknNfRzfQw4,[M4M] Yandere Boyfriend Cuddles You [My Good Boy] [Willing Listener] [Hair Caressing],https://i.ytimg.com/vi/zknNfRzfQw4/default.jpg,https://i.ytimg.com/vi/zknNfRzfQw4/mqdefault.jpg,https://i.ytimg.com/vi/zknNfRzfQw4/hqdefault.jpg
prEyc7xQh7Q,Audio/Roleplay (Tiefling) Lord (Scolding)you for running away [M4M] (Fantasy) {D&D}(Wholesome),https://i.ytimg.com/vi/prEyc7xQh7Q/default.jpg,https://i.ytimg.com/vi/prEyc7xQh7Q/mqdefault.jpg,https://i.ytimg.com/vi/prEyc7xQh7Q/hqdefault.jpg
hxQquDqWBx4,[M4A] Boyfriend Comforts You [Anxiety Comfort] [ASMR Roleplay] [Wholesome] [Soft Spoken],https://i.ytimg.com/vi/hxQquDqWBx4/default.jpg,https://i.ytimg.com/vi/hxQquDqWBx4/mqdefault.jpg,https://i.ytimg.com/vi/hxQquDqWBx4/hqdefault.jpg
JRkWNWUgklg,asmr flirty teasing playful werewolf guides you roleplay,https://i.ytimg.com/vi/JRkWNWUgklg/default.jpg,https://i.ytimg.com/vi/JRkWNWUgklg/mqdefault.jpg,https://i.ytimg.com/vi/JRkWNWUgklg/hqdefault.jpg
uNxQW732llI,ASMR Male Kitsune Wants You For Himself Roleplay,https://i.ytimg.com/vi/uNxQW732llI/default.jpg,https://i.ytimg.com/vi/uNxQW732llI/mqdefault.jpg,https://i.ytimg.com/vi/uNxQW732llI/hqdefault.jpg
rlPSbvh-img,Your Soft Mafia Boyfriend Takes Care Of You When Your Sick - (M4A) - (Wholesome) - (ASMR Roleplay),https://i.ytimg.com/vi/rlPSbvh-img/default.jpg,https://i.ytimg.com/vi/rlPSbvh-img/mqdefault.jpg,https://i.ytimg.com/vi/rlPSbvh-img/hqdefault.jpg
