ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
td1CmkUEfpQ,Restoring rusty vintage pocket knife - Knife restoration,https://i.ytimg.com/vi/td1CmkUEfpQ/default.jpg,https://i.ytimg.com/vi/td1CmkUEfpQ/mqdefault.jpg,https://i.ytimg.com/vi/td1CmkUEfpQ/hqdefault.jpg
r_NF5NAe7Yc,Restoration Abandoned PLAYSTATION PS2 | Restoration Destroyed Retro Console,https://i.ytimg.com/vi/r_NF5NAe7Yc/default.jpg,https://i.ytimg.com/vi/r_NF5NAe7Yc/mqdefault.jpg,https://i.ytimg.com/vi/r_NF5NAe7Yc/hqdefault.jpg
xfX0IKHy3tI,Gladiator Helmet Restoration – Roman Warrior replica,https://i.ytimg.com/vi/xfX0IKHy3tI/default.jpg,https://i.ytimg.com/vi/xfX0IKHy3tI/mqdefault.jpg,https://i.ytimg.com/vi/xfX0IKHy3tI/hqdefault.jpg
5e9JqaWg44A,Rusted Vintage Coffee Grinder Restoration,https://i.ytimg.com/vi/5e9JqaWg44A/default.jpg,https://i.ytimg.com/vi/5e9JqaWg44A/mqdefault.jpg,https://i.ytimg.com/vi/5e9JqaWg44A/hqdefault.jpg
zTyZgOkWs4o,Antique Hand Cranked Hammer Drill - Restoration (ASMR),https://i.ytimg.com/vi/zTyZgOkWs4o/default.jpg,https://i.ytimg.com/vi/zTyZgOkWs4o/mqdefault.jpg,https://i.ytimg.com/vi/zTyZgOkWs4o/hqdefault.jpg
W6GsRQdy6xQ,Ingenious Vintage Lighter - 1920 Lantern Restoration,https://i.ytimg.com/vi/W6GsRQdy6xQ/default.jpg,https://i.ytimg.com/vi/W6GsRQdy6xQ/mqdefault.jpg,https://i.ytimg.com/vi/W6GsRQdy6xQ/hqdefault.jpg
8yK0fexN7p4,Antique Blowtorch Restoration,https://i.ytimg.com/vi/8yK0fexN7p4/default.jpg,https://i.ytimg.com/vi/8yK0fexN7p4/mqdefault.jpg,https://i.ytimg.com/vi/8yK0fexN7p4/hqdefault.jpg
_XLNmvAwkwE,Restoration the navigation box | Restore of steering gearbox | Reuse ship navigation gearboxes,https://i.ytimg.com/vi/_XLNmvAwkwE/default.jpg,https://i.ytimg.com/vi/_XLNmvAwkwE/mqdefault.jpg,https://i.ytimg.com/vi/_XLNmvAwkwE/hqdefault.jpg
zlqZ5Daqyeo,Scania V8 R730 Restoration Abandoned semi trailer truck,https://i.ytimg.com/vi/zlqZ5Daqyeo/default.jpg,https://i.ytimg.com/vi/zlqZ5Daqyeo/mqdefault.jpg,https://i.ytimg.com/vi/zlqZ5Daqyeo/hqdefault.jpg
kqLoC2U5u-g,Rusty Jammed Rebar Cutter - Restoration,https://i.ytimg.com/vi/kqLoC2U5u-g/default.jpg,https://i.ytimg.com/vi/kqLoC2U5u-g/mqdefault.jpg,https://i.ytimg.com/vi/kqLoC2U5u-g/hqdefault.jpg
qixylE1GOWs,Broken Rusty Lock with Missing Key - Restoration,https://i.ytimg.com/vi/qixylE1GOWs/default.jpg,https://i.ytimg.com/vi/qixylE1GOWs/mqdefault.jpg,https://i.ytimg.com/vi/qixylE1GOWs/hqdefault.jpg
fznKeIWErlw,Antique Rusty Pruning Saw - Too Broken to Restore... I Make a New One (ASMR),https://i.ytimg.com/vi/fznKeIWErlw/default.jpg,https://i.ytimg.com/vi/fznKeIWErlw/mqdefault.jpg,https://i.ytimg.com/vi/fznKeIWErlw/hqdefault.jpg
vVoQmEugO5g,Restoring rusty old pocket knife found from fleamarket - Knife restoration,https://i.ytimg.com/vi/vVoQmEugO5g/default.jpg,https://i.ytimg.com/vi/vVoQmEugO5g/mqdefault.jpg,https://i.ytimg.com/vi/vVoQmEugO5g/hqdefault.jpg
1_-lL5hrR48,Vintage Pencil Sharpener Restoration & Modification,https://i.ytimg.com/vi/1_-lL5hrR48/default.jpg,https://i.ytimg.com/vi/1_-lL5hrR48/mqdefault.jpg,https://i.ytimg.com/vi/1_-lL5hrR48/hqdefault.jpg
R5r8_79x3Z0,Antique Dented Oiler - Perfect Restoration,https://i.ytimg.com/vi/R5r8_79x3Z0/default.jpg,https://i.ytimg.com/vi/R5r8_79x3Z0/mqdefault.jpg,https://i.ytimg.com/vi/R5r8_79x3Z0/hqdefault.jpg
KZBgZyVgJ40,Rusted BUTCHER's CLEAVER - Unbelievable Restoration,https://i.ytimg.com/vi/KZBgZyVgJ40/default.jpg,https://i.ytimg.com/vi/KZBgZyVgJ40/mqdefault.jpg,https://i.ytimg.com/vi/KZBgZyVgJ40/hqdefault.jpg
H5cpGHj8SsM,Super Cleaning A Disaster REPO SUV | Nastiest Seats & Carpet | Insane Car Detailing TRANSFORMATION!,https://i.ytimg.com/vi/H5cpGHj8SsM/default.jpg,https://i.ytimg.com/vi/H5cpGHj8SsM/mqdefault.jpg,https://i.ytimg.com/vi/H5cpGHj8SsM/hqdefault.jpg
Yjdz4aWSK4M,SUPER Cleaning a Nasty Farm Truck! | Disaster Car Detailing a Dirty Ford F-150 | The Detail Geek,https://i.ytimg.com/vi/Yjdz4aWSK4M/default.jpg,https://i.ytimg.com/vi/Yjdz4aWSK4M/mqdefault.jpg,https://i.ytimg.com/vi/Yjdz4aWSK4M/hqdefault.jpg
2lzErp0PlXM,wood turning: Simple & beautiful,https://i.ytimg.com/vi/2lzErp0PlXM/default.jpg,https://i.ytimg.com/vi/2lzErp0PlXM/mqdefault.jpg,https://i.ytimg.com/vi/2lzErp0PlXM/hqdefault.jpg
_l50jd6vOuE,Antique Handmade Butcher's Knife RESTORATION,https://i.ytimg.com/vi/_l50jd6vOuE/default.jpg,https://i.ytimg.com/vi/_l50jd6vOuE/mqdefault.jpg,https://i.ytimg.com/vi/_l50jd6vOuE/hqdefault.jpg
8PPPKGrdgok,Antique Rusty Butcher's Cleaver RESTORATION,https://i.ytimg.com/vi/8PPPKGrdgok/default.jpg,https://i.ytimg.com/vi/8PPPKGrdgok/mqdefault.jpg,https://i.ytimg.com/vi/8PPPKGrdgok/hqdefault.jpg
nbc1-ZeDTOE,1971 Chevrolet Camaro - Restoration Rusty model car,https://i.ytimg.com/vi/nbc1-ZeDTOE/default.jpg,https://i.ytimg.com/vi/nbc1-ZeDTOE/mqdefault.jpg,https://i.ytimg.com/vi/nbc1-ZeDTOE/hqdefault.jpg
EtRCSbCu8VM,INCONCEIVABLE! 155-Year-Old CIVIL WAR ERA Rusty Axe Head Tool Restoration in 4K! BURIED UNDERGROUND!,https://i.ytimg.com/vi/EtRCSbCu8VM/default.jpg,https://i.ytimg.com/vi/EtRCSbCu8VM/mqdefault.jpg,https://i.ytimg.com/vi/EtRCSbCu8VM/hqdefault.jpg
_F5Fa3ULxP0,Gigantic Hammer Restoration - Sledge-O-Matic,https://i.ytimg.com/vi/_F5Fa3ULxP0/default.jpg,https://i.ytimg.com/vi/_F5Fa3ULxP0/mqdefault.jpg,https://i.ytimg.com/vi/_F5Fa3ULxP0/hqdefault.jpg
62WUWa29iDE,Extremely Rusty and Destroyed Guillotine Restoration - ASMR,https://i.ytimg.com/vi/62WUWa29iDE/default.jpg,https://i.ytimg.com/vi/62WUWa29iDE/mqdefault.jpg,https://i.ytimg.com/vi/62WUWa29iDE/hqdefault.jpg
C3qxYOV5gs4,Antique Grape Press Restoration,https://i.ytimg.com/vi/C3qxYOV5gs4/default.jpg,https://i.ytimg.com/vi/C3qxYOV5gs4/mqdefault.jpg,https://i.ytimg.com/vi/C3qxYOV5gs4/hqdefault.jpg
qcQZb1bjju8,Wine Bottle Crimper Restoration,https://i.ytimg.com/vi/qcQZb1bjju8/default.jpg,https://i.ytimg.com/vi/qcQZb1bjju8/mqdefault.jpg,https://i.ytimg.com/vi/qcQZb1bjju8/hqdefault.jpg
yIhVvG70rQw,Antique and Broken Wooden Jack Restoration,https://i.ytimg.com/vi/yIhVvG70rQw/default.jpg,https://i.ytimg.com/vi/yIhVvG70rQw/mqdefault.jpg,https://i.ytimg.com/vi/yIhVvG70rQw/hqdefault.jpg
RcUa4OreiKo,Yellowed NINTENDO Advantage Restoration,https://i.ytimg.com/vi/RcUa4OreiKo/default.jpg,https://i.ytimg.com/vi/RcUa4OreiKo/mqdefault.jpg,https://i.ytimg.com/vi/RcUa4OreiKo/hqdefault.jpg
0eQI5VUa7YY,Restoration Old Rusty Butcher Cleaver,https://i.ytimg.com/vi/0eQI5VUa7YY/default.jpg,https://i.ytimg.com/vi/0eQI5VUa7YY/mqdefault.jpg,https://i.ytimg.com/vi/0eQI5VUa7YY/hqdefault.jpg
KrjqEZ3VtQU,Baroque style Gas Heater Restoration,https://i.ytimg.com/vi/KrjqEZ3VtQU/default.jpg,https://i.ytimg.com/vi/KrjqEZ3VtQU/mqdefault.jpg,https://i.ytimg.com/vi/KrjqEZ3VtQU/hqdefault.jpg
xfApbO-Pza8,Antique Seized Adjustable Wrench - Restoration (ASMR),https://i.ytimg.com/vi/xfApbO-Pza8/default.jpg,https://i.ytimg.com/vi/xfApbO-Pza8/mqdefault.jpg,https://i.ytimg.com/vi/xfApbO-Pza8/hqdefault.jpg
YgfbXtVBTAA,Broken Rusty Adze Restoration - Grandpa's Toolbox,https://i.ytimg.com/vi/YgfbXtVBTAA/default.jpg,https://i.ytimg.com/vi/YgfbXtVBTAA/mqdefault.jpg,https://i.ytimg.com/vi/YgfbXtVBTAA/hqdefault.jpg
JmSXo0XdWoA,1891 German ''Weltrekord'' Ratchet Screwdriver - Restoration (ASMR),https://i.ytimg.com/vi/JmSXo0XdWoA/default.jpg,https://i.ytimg.com/vi/JmSXo0XdWoA/mqdefault.jpg,https://i.ytimg.com/vi/JmSXo0XdWoA/hqdefault.jpg
0X1SpmzDBCs,I Restored this Rusty $1 Car Horn - NOT WORTH RESTORING for Test,https://i.ytimg.com/vi/0X1SpmzDBCs/default.jpg,https://i.ytimg.com/vi/0X1SpmzDBCs/mqdefault.jpg,https://i.ytimg.com/vi/0X1SpmzDBCs/hqdefault.jpg
1wOlEe-H5Bs,Woodturning - A Cherry Log,https://i.ytimg.com/vi/1wOlEe-H5Bs/default.jpg,https://i.ytimg.com/vi/1wOlEe-H5Bs/mqdefault.jpg,https://i.ytimg.com/vi/1wOlEe-H5Bs/hqdefault.jpg
DB9THbtO9h8,70 Years Old Useless Scissors Restoration | 15 MIN RESTORATION,https://i.ytimg.com/vi/DB9THbtO9h8/default.jpg,https://i.ytimg.com/vi/DB9THbtO9h8/mqdefault.jpg,https://i.ytimg.com/vi/DB9THbtO9h8/hqdefault.jpg
4SLqbMqJdlc,CLEAVER KNİFE RESTORATİON - Axe making,https://i.ytimg.com/vi/4SLqbMqJdlc/default.jpg,https://i.ytimg.com/vi/4SLqbMqJdlc/mqdefault.jpg,https://i.ytimg.com/vi/4SLqbMqJdlc/hqdefault.jpg
ALMGj0Q3p0I,Antique Meat Cleaver - Perfect Restoration and Awesome Handle,https://i.ytimg.com/vi/ALMGj0Q3p0I/default.jpg,https://i.ytimg.com/vi/ALMGj0Q3p0I/mqdefault.jpg,https://i.ytimg.com/vi/ALMGj0Q3p0I/hqdefault.jpg
wTbY7Br21MU,NINTENDO Console Restoration - Retrobright ASMR,https://i.ytimg.com/vi/wTbY7Br21MU/default.jpg,https://i.ytimg.com/vi/wTbY7Br21MU/mqdefault.jpg,https://i.ytimg.com/vi/wTbY7Br21MU/hqdefault.jpg
4HBr8NE17oc,Yellowed and Dirty Playstation One Restoration,https://i.ytimg.com/vi/4HBr8NE17oc/default.jpg,https://i.ytimg.com/vi/4HBr8NE17oc/mqdefault.jpg,https://i.ytimg.com/vi/4HBr8NE17oc/hqdefault.jpg
LtYRBhbCEoU,Restoration Rusty Japanese Cleaver,https://i.ytimg.com/vi/LtYRBhbCEoU/default.jpg,https://i.ytimg.com/vi/LtYRBhbCEoU/mqdefault.jpg,https://i.ytimg.com/vi/LtYRBhbCEoU/hqdefault.jpg
W4uPnc9EFbs,Antique Broken Pruning Saw - Amazing Restoration,https://i.ytimg.com/vi/W4uPnc9EFbs/default.jpg,https://i.ytimg.com/vi/W4uPnc9EFbs/mqdefault.jpg,https://i.ytimg.com/vi/W4uPnc9EFbs/hqdefault.jpg
U2jNeObHnZY,Rusty Deadlocked Vise - Perfect Restoration,https://i.ytimg.com/vi/U2jNeObHnZY/default.jpg,https://i.ytimg.com/vi/U2jNeObHnZY/mqdefault.jpg,https://i.ytimg.com/vi/U2jNeObHnZY/hqdefault.jpg
sMfD9IoHDA0,Fruit Press Restoration,https://i.ytimg.com/vi/sMfD9IoHDA0/default.jpg,https://i.ytimg.com/vi/sMfD9IoHDA0/mqdefault.jpg,https://i.ytimg.com/vi/sMfD9IoHDA0/hqdefault.jpg
EVShbpzeh0E,Broken Rusty Oldtimer Scooter - Restoration (ASMR),https://i.ytimg.com/vi/EVShbpzeh0E/default.jpg,https://i.ytimg.com/vi/EVShbpzeh0E/mqdefault.jpg,https://i.ytimg.com/vi/EVShbpzeh0E/hqdefault.jpg
TtBeYsx0kEs,Huge Rusty Leg Vise - Perfect Restoration,https://i.ytimg.com/vi/TtBeYsx0kEs/default.jpg,https://i.ytimg.com/vi/TtBeYsx0kEs/mqdefault.jpg,https://i.ytimg.com/vi/TtBeYsx0kEs/hqdefault.jpg
Rcmi7SdMItA,"World Champion Bully Ray kicks off IMPACT - September 5, 2013",https://i.ytimg.com/vi/Rcmi7SdMItA/default.jpg,https://i.ytimg.com/vi/Rcmi7SdMItA/mqdefault.jpg,https://i.ytimg.com/vi/Rcmi7SdMItA/hqdefault.jpg
ckUHQu2hZ_A,Cross Peen Hammer Restoration with Surprising Chain Handle,https://i.ytimg.com/vi/ckUHQu2hZ_A/default.jpg,https://i.ytimg.com/vi/ckUHQu2hZ_A/mqdefault.jpg,https://i.ytimg.com/vi/ckUHQu2hZ_A/hqdefault.jpg
C23FhmfUbR4,Restoration Antique Russian Knife,https://i.ytimg.com/vi/C23FhmfUbR4/default.jpg,https://i.ytimg.com/vi/C23FhmfUbR4/mqdefault.jpg,https://i.ytimg.com/vi/C23FhmfUbR4/hqdefault.jpg
JdvO7w7XzIw,Yellowed Xbox 360 Controller Restoration - Gaming Console Repair,https://i.ytimg.com/vi/JdvO7w7XzIw/default.jpg,https://i.ytimg.com/vi/JdvO7w7XzIw/mqdefault.jpg,https://i.ytimg.com/vi/JdvO7w7XzIw/hqdefault.jpg
