ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
OweWfMldHEs,Getting Water in the Arctic | Life Below Zero,https://i.ytimg.com/vi/OweWfMldHEs/default.jpg,https://i.ytimg.com/vi/OweWfMldHEs/mqdefault.jpg,https://i.ytimg.com/vi/OweWfMldHEs/hqdefault.jpg
DrYYb5O8Ga0,Building a Bathhouse in the Arctic  | Life Below Zero,https://i.ytimg.com/vi/DrYYb5O8Ga0/default.jpg,https://i.ytimg.com/vi/DrYYb5O8Ga0/mqdefault.jpg,https://i.ytimg.com/vi/DrYYb5O8Ga0/hqdefault.jpg
y-7XaY5Pt8Y,Road Trip to the Sawtooth Mountains | National Geographic,https://i.ytimg.com/vi/y-7XaY5Pt8Y/default.jpg,https://i.ytimg.com/vi/y-7XaY5Pt8Y/mqdefault.jpg,https://i.ytimg.com/vi/y-7XaY5Pt8Y/hqdefault.jpg
AVovLjOOWDI,Autumn in Canada | National Geographic,https://i.ytimg.com/vi/AVovLjOOWDI/default.jpg,https://i.ytimg.com/vi/AVovLjOOWDI/mqdefault.jpg,https://i.ytimg.com/vi/AVovLjOOWDI/hqdefault.jpg
rbQ10sGExd8,Danica Patrick Eats a Scorpion | Running Wild with Bear Grylls,https://i.ytimg.com/vi/rbQ10sGExd8/default.jpg,https://i.ytimg.com/vi/rbQ10sGExd8/mqdefault.jpg,https://i.ytimg.com/vi/rbQ10sGExd8/hqdefault.jpg
5FIqRXqZW_o,Indigenous Art in Canada | National Geographic,https://i.ytimg.com/vi/5FIqRXqZW_o/default.jpg,https://i.ytimg.com/vi/5FIqRXqZW_o/mqdefault.jpg,https://i.ytimg.com/vi/5FIqRXqZW_o/hqdefault.jpg
TuGytjg4pcY,Terry Crews Skydives Over Iceland | Running Wild with Bear Grylls,https://i.ytimg.com/vi/TuGytjg4pcY/default.jpg,https://i.ytimg.com/vi/TuGytjg4pcY/mqdefault.jpg,https://i.ytimg.com/vi/TuGytjg4pcY/hqdefault.jpg
1Evj5XMTWEo,New Zealand's Stunning Landscapes | National Geographic,https://i.ytimg.com/vi/1Evj5XMTWEo/default.jpg,https://i.ytimg.com/vi/1Evj5XMTWEo/mqdefault.jpg,https://i.ytimg.com/vi/1Evj5XMTWEo/hqdefault.jpg
3yT7BWEq4zw,The Rich Culture of Nelson Tasman | National Geographic,https://i.ytimg.com/vi/3yT7BWEq4zw/default.jpg,https://i.ytimg.com/vi/3yT7BWEq4zw/mqdefault.jpg,https://i.ytimg.com/vi/3yT7BWEq4zw/hqdefault.jpg
7bcUwzn1HlU,Anthony Mackie Descends a Cliff Face | Running Wild with Bear Grylls,https://i.ytimg.com/vi/7bcUwzn1HlU/default.jpg,https://i.ytimg.com/vi/7bcUwzn1HlU/mqdefault.jpg,https://i.ytimg.com/vi/7bcUwzn1HlU/hqdefault.jpg
cA5cX1YuuGA,Exploring the Bay of Plenty | National Geographic,https://i.ytimg.com/vi/cA5cX1YuuGA/default.jpg,https://i.ytimg.com/vi/cA5cX1YuuGA/mqdefault.jpg,https://i.ytimg.com/vi/cA5cX1YuuGA/hqdefault.jpg
tIfJn8TctoA,Parking Lot Drug Bust | To Catch a Smuggler,https://i.ytimg.com/vi/tIfJn8TctoA/default.jpg,https://i.ytimg.com/vi/tIfJn8TctoA/mqdefault.jpg,https://i.ytimg.com/vi/tIfJn8TctoA/hqdefault.jpg
rI7jJp8iDXQ,The First Militaristic Drug Cartel | Narco Wars,https://i.ytimg.com/vi/rI7jJp8iDXQ/default.jpg,https://i.ytimg.com/vi/rI7jJp8iDXQ/mqdefault.jpg,https://i.ytimg.com/vi/rI7jJp8iDXQ/hqdefault.jpg
Ze0s62QWWhs,Cocaine Shipment at JFK Airport | To Catch a Smuggler,https://i.ytimg.com/vi/Ze0s62QWWhs/default.jpg,https://i.ytimg.com/vi/Ze0s62QWWhs/mqdefault.jpg,https://i.ytimg.com/vi/Ze0s62QWWhs/hqdefault.jpg
U4CRLzQwBkg,How Coca Leaves Become Cocaine | Trafficked with Mariana van Zeller,https://i.ytimg.com/vi/U4CRLzQwBkg/default.jpg,https://i.ytimg.com/vi/U4CRLzQwBkg/mqdefault.jpg,https://i.ytimg.com/vi/U4CRLzQwBkg/hqdefault.jpg
XGPReaxXSfk,Feast or Famine (Full Episode) | Ice Road Rescue,https://i.ytimg.com/vi/XGPReaxXSfk/default.jpg,https://i.ytimg.com/vi/XGPReaxXSfk/mqdefault.jpg,https://i.ytimg.com/vi/XGPReaxXSfk/hqdefault.jpg
K-GmHyPrwyg,Building a Tree Stand in the Arctic | Life Below Zero,https://i.ytimg.com/vi/K-GmHyPrwyg/default.jpg,https://i.ytimg.com/vi/K-GmHyPrwyg/mqdefault.jpg,https://i.ytimg.com/vi/K-GmHyPrwyg/hqdefault.jpg
XebzLcG1BoM,The History of Vlad the Impaler | Atlas of Cursed Places,https://i.ytimg.com/vi/XebzLcG1BoM/default.jpg,https://i.ytimg.com/vi/XebzLcG1BoM/mqdefault.jpg,https://i.ytimg.com/vi/XebzLcG1BoM/hqdefault.jpg
47qnOjR_uVE,Building a Bench in the Arctic | Life Below Zero,https://i.ytimg.com/vi/47qnOjR_uVE/default.jpg,https://i.ytimg.com/vi/47qnOjR_uVE/mqdefault.jpg,https://i.ytimg.com/vi/47qnOjR_uVE/hqdefault.jpg
FCRbSYNCBXY,The Vibrant Zulu Culture | National Geographic,https://i.ytimg.com/vi/FCRbSYNCBXY/default.jpg,https://i.ytimg.com/vi/FCRbSYNCBXY/mqdefault.jpg,https://i.ytimg.com/vi/FCRbSYNCBXY/hqdefault.jpg
5c-fH8zKebg,Cara Delevingne in the Sardinia Mountains (Full Episode) | Running Wild With Bear Grylls,https://i.ytimg.com/vi/5c-fH8zKebg/default.jpg,https://i.ytimg.com/vi/5c-fH8zKebg/mqdefault.jpg,https://i.ytimg.com/vi/5c-fH8zKebg/hqdefault.jpg
N78cAj4Kk7k,Rescuing a 14 Ton Bread Truck | Ice Road Rescue,https://i.ytimg.com/vi/N78cAj4Kk7k/default.jpg,https://i.ytimg.com/vi/N78cAj4Kk7k/mqdefault.jpg,https://i.ytimg.com/vi/N78cAj4Kk7k/hqdefault.jpg
dw0lxXI8Ibo,The Wild Wonders of South Africa | National Geographic,https://i.ytimg.com/vi/dw0lxXI8Ibo/default.jpg,https://i.ytimg.com/vi/dw0lxXI8Ibo/mqdefault.jpg,https://i.ytimg.com/vi/dw0lxXI8Ibo/hqdefault.jpg
awpv_cm9RZE,Nelson Mandela's Legacy | National Geographic,https://i.ytimg.com/vi/awpv_cm9RZE/default.jpg,https://i.ytimg.com/vi/awpv_cm9RZE/mqdefault.jpg,https://i.ytimg.com/vi/awpv_cm9RZE/hqdefault.jpg
FA-4kMedp44,Uplifting Humanity Through Photography | National Geographic,https://i.ytimg.com/vi/FA-4kMedp44/default.jpg,https://i.ytimg.com/vi/FA-4kMedp44/mqdefault.jpg,https://i.ytimg.com/vi/FA-4kMedp44/hqdefault.jpg
06Cu2hzy-ag,Telling Stories Through Reflections | National Geographic,https://i.ytimg.com/vi/06Cu2hzy-ag/default.jpg,https://i.ytimg.com/vi/06Cu2hzy-ag/mqdefault.jpg,https://i.ytimg.com/vi/06Cu2hzy-ag/hqdefault.jpg
XoxrQr-w8Kg,The Diverse South African Coastline | National Geographic,https://i.ytimg.com/vi/XoxrQr-w8Kg/default.jpg,https://i.ytimg.com/vi/XoxrQr-w8Kg/mqdefault.jpg,https://i.ytimg.com/vi/XoxrQr-w8Kg/hqdefault.jpg
BVC0mJo3MYU,The Spirit of Takumi | National Geographic,https://i.ytimg.com/vi/BVC0mJo3MYU/default.jpg,https://i.ytimg.com/vi/BVC0mJo3MYU/mqdefault.jpg,https://i.ytimg.com/vi/BVC0mJo3MYU/hqdefault.jpg
5n-uFm0RUYo,The Emotional Journey of Photos | National Geographic,https://i.ytimg.com/vi/5n-uFm0RUYo/default.jpg,https://i.ytimg.com/vi/5n-uFm0RUYo/mqdefault.jpg,https://i.ytimg.com/vi/5n-uFm0RUYo/hqdefault.jpg
