ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
gcWehjwCY7I,"HAVE CONTROL OVER EMOTIONS, MEMORIES AND MIND | Hacker Turned Neuroscientist - Moran Cerf",https://i.ytimg.com/vi/gcWehjwCY7I/default.jpg,https://i.ytimg.com/vi/gcWehjwCY7I/mqdefault.jpg,https://i.ytimg.com/vi/gcWehjwCY7I/hqdefault.jpg
ZC4eWrzxIqw,I'M GOING TO WIN - Best Motivational Speech Video (Featuring Denzel Washington),https://i.ytimg.com/vi/ZC4eWrzxIqw/default.jpg,https://i.ytimg.com/vi/ZC4eWrzxIqw/mqdefault.jpg,https://i.ytimg.com/vi/ZC4eWrzxIqw/hqdefault.jpg
ygHQpGLFB-4,Royal Marine Commando: Advice Will Change Your Life (MUST WATCH) Motivational Speech | Aldo Kane,https://i.ytimg.com/vi/ygHQpGLFB-4/default.jpg,https://i.ytimg.com/vi/ygHQpGLFB-4/mqdefault.jpg,https://i.ytimg.com/vi/ygHQpGLFB-4/hqdefault.jpg
Qyd6n0Ek1js,How To Get in Shape Guide 2022 | Essential Tools To Get Lean and Build Muscle,https://i.ytimg.com/vi/Qyd6n0Ek1js/default.jpg,https://i.ytimg.com/vi/Qyd6n0Ek1js/mqdefault.jpg,https://i.ytimg.com/vi/Qyd6n0Ek1js/hqdefault.jpg
LGGzE1x7nus,How to build your Brand (literally what I did),https://i.ytimg.com/vi/LGGzE1x7nus/default.jpg,https://i.ytimg.com/vi/LGGzE1x7nus/mqdefault.jpg,https://i.ytimg.com/vi/LGGzE1x7nus/hqdefault.jpg
-HGrBqy77iY,FULL BODY LIFTING ROUTINE: D1 BASKETBALL PLAYER,https://i.ytimg.com/vi/-HGrBqy77iY/default.jpg,https://i.ytimg.com/vi/-HGrBqy77iY/mqdefault.jpg,https://i.ytimg.com/vi/-HGrBqy77iY/hqdefault.jpg
llU8svpRIsQ,Michael Jordan - WINNERS DON'T QUIT - Best Motivation Speech 2019,https://i.ytimg.com/vi/llU8svpRIsQ/default.jpg,https://i.ytimg.com/vi/llU8svpRIsQ/mqdefault.jpg,https://i.ytimg.com/vi/llU8svpRIsQ/hqdefault.jpg
VXkJnuu2iYE,7 Books EVERYONE in Their 20's Should Read,https://i.ytimg.com/vi/VXkJnuu2iYE/default.jpg,https://i.ytimg.com/vi/VXkJnuu2iYE/mqdefault.jpg,https://i.ytimg.com/vi/VXkJnuu2iYE/hqdefault.jpg
bvNizoP-07Y,OBSESSION — MICHAEL JORDAN MOVIE,https://i.ytimg.com/vi/bvNizoP-07Y/default.jpg,https://i.ytimg.com/vi/bvNizoP-07Y/mqdefault.jpg,https://i.ytimg.com/vi/bvNizoP-07Y/hqdefault.jpg
DFXqyLetawE,OUTWORK EVERYBODY - Michael Jordan - Motivationnal Video,https://i.ytimg.com/vi/DFXqyLetawE/default.jpg,https://i.ytimg.com/vi/DFXqyLetawE/mqdefault.jpg,https://i.ytimg.com/vi/DFXqyLetawE/hqdefault.jpg
