ID,TITLE,THUMBNAIL1,THUMBNAIL2,THUMBNAIL3
GWMcla-I-_Y,Adv JAVA | JDBC Session - 1|| JDBC Agenda by Durga,https://i.ytimg.com/vi/GWMcla-I-_Y/default.jpg,https://i.ytimg.com/vi/GWMcla-I-_Y/mqdefault.jpg,https://i.ytimg.com/vi/GWMcla-I-_Y/hqdefault.jpg
YpIcmR8Sjxc,Adv Java | |JDBC Session - 2 ||Introduction to Adv. Java Part - 1 by Durga sir,https://i.ytimg.com/vi/YpIcmR8Sjxc/default.jpg,https://i.ytimg.com/vi/YpIcmR8Sjxc/mqdefault.jpg,https://i.ytimg.com/vi/YpIcmR8Sjxc/hqdefault.jpg
NlMa1pAOSic,Adv Java |  JDBC Session - 3 ||Introduction to Adv. Java Part - 2 by Durga sir,https://i.ytimg.com/vi/NlMa1pAOSic/default.jpg,https://i.ytimg.com/vi/NlMa1pAOSic/mqdefault.jpg,https://i.ytimg.com/vi/NlMa1pAOSic/hqdefault.jpg
oSRaqVBVZ4c,Adv Java | JDBC Session - 4 ||JDBC in Simple Way Part- 1 by Durga,https://i.ytimg.com/vi/oSRaqVBVZ4c/default.jpg,https://i.ytimg.com/vi/oSRaqVBVZ4c/mqdefault.jpg,https://i.ytimg.com/vi/oSRaqVBVZ4c/hqdefault.jpg
NZ7JdCJIuUc,Adv Java | JDBC Session - 5 ||JDBC in Simple Way Part- 2 by Durga,https://i.ytimg.com/vi/NZ7JdCJIuUc/default.jpg,https://i.ytimg.com/vi/NZ7JdCJIuUc/mqdefault.jpg,https://i.ytimg.com/vi/NZ7JdCJIuUc/hqdefault.jpg
Y7cfs55ytlo,Private video,https://i.ytimg.com/vi/Y7cfs55ytlo/default.jpg,https://i.ytimg.com/vi/Y7cfs55ytlo/mqdefault.jpg,https://i.ytimg.com/vi/Y7cfs55ytlo/hqdefault.jpg
bZzb2YDN394,Adv JAVA ||JDBC Session - 7 || JDBC Versions by Durga sir,https://i.ytimg.com/vi/bZzb2YDN394/default.jpg,https://i.ytimg.com/vi/bZzb2YDN394/mqdefault.jpg,https://i.ytimg.com/vi/bZzb2YDN394/hqdefault.jpg
HC-sFwtEwtQ,Private video,https://i.ytimg.com/vi/HC-sFwtEwtQ/default.jpg,https://i.ytimg.com/vi/HC-sFwtEwtQ/mqdefault.jpg,https://i.ytimg.com/vi/HC-sFwtEwtQ/hqdefault.jpg
YPlAsZi5WBU,Adv JAVA | JDBC Session - 9||  Diff b/w ODBC & JDBC  || Evolution of JDBC Part - 2 by Durga sir,https://i.ytimg.com/vi/YPlAsZi5WBU/default.jpg,https://i.ytimg.com/vi/YPlAsZi5WBU/mqdefault.jpg,https://i.ytimg.com/vi/YPlAsZi5WBU/hqdefault.jpg
SUTGsbI1xJI,Private video,https://i.ytimg.com/vi/SUTGsbI1xJI/default.jpg,https://i.ytimg.com/vi/SUTGsbI1xJI/mqdefault.jpg,https://i.ytimg.com/vi/SUTGsbI1xJI/hqdefault.jpg
81DMUJweCpE,Adv JAVA||JDBC Session - 11 ||How JAVA is Platform Independent & Database Independent by Durga Sir,https://i.ytimg.com/vi/81DMUJweCpE/default.jpg,https://i.ytimg.com/vi/81DMUJweCpE/mqdefault.jpg,https://i.ytimg.com/vi/81DMUJweCpE/hqdefault.jpg
spaSosoYQAo,Adv Java | JDBC Session - 12 ||JDBC API Part - 1 by Durga sir,https://i.ytimg.com/vi/spaSosoYQAo/default.jpg,https://i.ytimg.com/vi/spaSosoYQAo/mqdefault.jpg,https://i.ytimg.com/vi/spaSosoYQAo/hqdefault.jpg
RP4CyKJOrlo,Private video,https://i.ytimg.com/vi/RP4CyKJOrlo/default.jpg,https://i.ytimg.com/vi/RP4CyKJOrlo/mqdefault.jpg,https://i.ytimg.com/vi/RP4CyKJOrlo/hqdefault.jpg
rDgsWWQv6EQ,Adv JAVA | JDBC Session - 14|| Types of Drivers : Introduction  by Durga,https://i.ytimg.com/vi/rDgsWWQv6EQ/default.jpg,https://i.ytimg.com/vi/rDgsWWQv6EQ/mqdefault.jpg,https://i.ytimg.com/vi/rDgsWWQv6EQ/hqdefault.jpg
X65FVAe9mdU,Adv JAVA | JDBC Session - 15|| Types of Drivers : Type - 1  by Durga sir,https://i.ytimg.com/vi/X65FVAe9mdU/default.jpg,https://i.ytimg.com/vi/X65FVAe9mdU/mqdefault.jpg,https://i.ytimg.com/vi/X65FVAe9mdU/hqdefault.jpg
pr2AzvwftQ0,Adv JAVA | JDBC Session - 16 || Types of Drivers : Type - 2  by Durga sir,https://i.ytimg.com/vi/pr2AzvwftQ0/default.jpg,https://i.ytimg.com/vi/pr2AzvwftQ0/mqdefault.jpg,https://i.ytimg.com/vi/pr2AzvwftQ0/hqdefault.jpg
rG_wopVP-1E,Private video,https://i.ytimg.com/vi/rG_wopVP-1E/default.jpg,https://i.ytimg.com/vi/rG_wopVP-1E/mqdefault.jpg,https://i.ytimg.com/vi/rG_wopVP-1E/hqdefault.jpg
XEAr07etvOc,Adv JAVA | JDBC Session - 18 || Types of Drivers : Type - 4  by Durga sir,https://i.ytimg.com/vi/XEAr07etvOc/default.jpg,https://i.ytimg.com/vi/XEAr07etvOc/mqdefault.jpg,https://i.ytimg.com/vi/XEAr07etvOc/hqdefault.jpg
1r9pDqoxHqI,Private video,https://i.ytimg.com/vi/1r9pDqoxHqI/default.jpg,https://i.ytimg.com/vi/1r9pDqoxHqI/mqdefault.jpg,https://i.ytimg.com/vi/1r9pDqoxHqI/hqdefault.jpg
SSqXstQ6h6Y,Adv JAVA | JDBC Session - 20 || Which JDBC Driver should be used? by Durga sir,https://i.ytimg.com/vi/SSqXstQ6h6Y/default.jpg,https://i.ytimg.com/vi/SSqXstQ6h6Y/mqdefault.jpg,https://i.ytimg.com/vi/SSqXstQ6h6Y/hqdefault.jpg
vkKnHOxo3qk,Adv JAVA | JDBC Session - 21 || Difference between thick & thin Drivers  by Durga sir,https://i.ytimg.com/vi/vkKnHOxo3qk/default.jpg,https://i.ytimg.com/vi/vkKnHOxo3qk/mqdefault.jpg,https://i.ytimg.com/vi/vkKnHOxo3qk/hqdefault.jpg
ZRW_K_xDQCQ,Private video,https://i.ytimg.com/vi/ZRW_K_xDQCQ/default.jpg,https://i.ytimg.com/vi/ZRW_K_xDQCQ/mqdefault.jpg,https://i.ytimg.com/vi/ZRW_K_xDQCQ/hqdefault.jpg
